"","Size","species"
"1110","42","Aythya affinis"
"1210","48","Aythya americana"
"1310","43","Aythya collaris"
"142","43","Aythya fuligula"
"15","46","Aythya marila"
"161","53","Aythya valisineria"
"17","30","Bartramia longicauda"
"181","71","Botaurus lentiginosus"
"191","64","Branta bernicla"
"202","89","Branta canadensis"
"211","69","Branta leucopsis"
"221","51","Bubulcus ibis"
"232","46","Bucephala islandica"
"242","48","Buteo jamaicensis"
"256","53","Buteo lagopus"
"2610","43","Buteo lineatus"
"2710","38","Buteo platypterus"
"281","46","Butorides virescens"
"2910",NA,"Camptorhynchus labradorius"
"301","53","Catharacta maccormicki"
"311","58","Catharacta skua"
"321","66","Cathartes aura"
"331","38","Catoptrophorus semipalmatus"
"349","33","Ceryle alcyon"
"3510","18","Charadrius melodus"
"36","18","Charadrius semipalmatus"
"37","27","Charadrius vociferus"
"3810","71","Chen caerulescens"
"398","58","Chen rossii"
"4010","46","Circus cyaneus"
"4110","64","Coragyps atratus"
"4210","44","Corvus brachyrhynchos"
"4310","61","Corvus corax"
"441","18","Coturnicops noveboracensis"
"458","132","Cygnus columbianus"
"462","152","Cygnus cygnus"
"4710","152","Cygnus olor"
"4810","61","Egretta caerulea"
"496","64","Egretta garzetta"
"502","61","Egretta thula"
"511","66","Egretta tricolor"
"5210","64","Eudocimus albus"
"5310","25","Falco columbarius"
"541","41","Falco peregrinus"
"5510","56","Falco rusticolus"
"565","23","Falco sparverius"
"5710","39","Fulica americana"
"5810","27","Gallinago gallinago"
"594","36","Gallinula chloropus"
"603","81","Gavia immer"
"61","64","Gavia stellata"
"6210","44","Haematopus palliatus"
"635","36","Himantopus mexicanus"
"6410","33","Ixobrychus exilis"
